program,fuzzer,seed,version,branches
nm,afl-2.51b,valid,binutils2.28,18
nm,afl-2.52b,valid,binutils2.28,18.8
nm,afl-rb,valid,binutils2.28,18.8
nm,aflfast,valid,binutils2.28,18.8
nm,aflgo,valid,binutils2.28,18.8
objdump,afl-1.94b,valid,binutils2.28,14.2
objdump,afl-2.40b,valid,binutils2.28,18.7
objdump,afl-2.49b,valid,binutils2.28,16.4
objdump,afl-2.51b,valid,binutils2.28,25.4
objdump,afl-2.52b,valid,binutils2.28,26.9
objdump,afl-rb,valid,binutils2.28,29.2
objdump,aflfast,valid,binutils2.28,27
objdump,aflgo,valid,binutils2.28,26.9
readelf,afl-1.94b,valid,binutils2.28,41.3
readelf,afl-2.40b,valid,binutils2.28,21.2
readelf,afl-2.49b,valid,binutils2.28,25.3
readelf,afl-2.51b,valid,binutils2.28,16.7
readelf,afl-2.52b,valid,binutils2.28,40.7
readelf,afl-rb,valid,binutils2.28,51.1
readelf,aflfast,valid,binutils2.28,45.7
readelf,aflgo,valid,binutils2.28,42.1
cxxfilt,afl-1.94b,valid,binutils2.32,46.3
cxxfilt,afl-2.40b,valid,binutils2.32,46.3
cxxfilt,afl-2.49b,valid,binutils2.32,44.4
cxxfilt,afl-2.51b,valid,binutils2.32,48.1
cxxfilt,afl-2.52b,valid,binutils2.32,48.1
cxxfilt,afl-rb,valid,binutils2.32,48.1
cxxfilt,aflfast,valid,binutils2.32,48.1
cxxfilt,aflgo,valid,binutils2.32,48.1
nm,afl-1.94b,valid,binutils2.32,18.9
nm,afl-2.40b,valid,binutils2.32,19.3
nm,afl-2.49b,valid,binutils2.32,15
nm,afl-2.51b,valid,binutils2.32,17.9
nm,afl-2.52b,valid,binutils2.32,19.3
nm,afl-rb,valid,binutils2.32,19.3
nm,aflfast,valid,binutils2.32,19.3
nm,aflgo,valid,binutils2.32,19.3
objdump,afl-1.94b,valid,binutils2.32,18.9
objdump,afl-2.40b,valid,binutils2.32,25.7
objdump,afl-2.49b,valid,binutils2.32,13.3
objdump,afl-2.51b,valid,binutils2.32,14.9
objdump,afl-2.52b,valid,binutils2.32,21.9
objdump,afl-rb,valid,binutils2.32,29.2
objdump,aflfast,valid,binutils2.32,26.7
objdump,aflgo,valid,binutils2.32,26.2
readelf,afl-1.94b,valid,binutils2.32,34.8
readelf,afl-2.40b,valid,binutils2.32,12.8
readelf,afl-2.49b,valid,binutils2.32,14.5
readelf,afl-2.51b,valid,binutils2.32,35.8
readelf,afl-2.52b,valid,binutils2.32,38.5
readelf,afl-rb,valid,binutils2.32,44.8
readelf,aflfast,valid,binutils2.32,42.9
readelf,aflgo,valid,binutils2.32,39.7
tcpdump,afl-1.94b,valid,tcpdump,8.3
tcpdump,afl-2.40b,valid,tcpdump,8.3
tcpdump,afl-2.49b,valid,tcpdump,8.3
tcpdump,afl-2.51b,valid,tcpdump,8.3
tcpdump,afl-2.52b,valid,tcpdump,8.3
tcpdump,afl-rb,valid,tcpdump,8.3
tcpdump,aflfast,valid,tcpdump,8.3
tcpdump,aflgo,valid,tcpdump,8.3
base64,afl-1.94b,valid,lava-m,33.7
base64,afl-2.40b,valid,lava-m,33.7
base64,afl-2.49b,valid,lava-m,33.7
base64,afl-2.51b,valid,lava-m,33.7
base64,afl-2.52b,valid,lava-m,33.7
base64,afl-rb,valid,lava-m,33.7
base64,aflfast,valid,lava-m,33.7
base64,aflgo,valid,lava-m,33.7
md5sum,afl-1.94b,valid,lava-m,58.5
md5sum,afl-2.40b,valid,lava-m,52.7
md5sum,afl-2.49b,valid,lava-m,52.7
md5sum,afl-2.51b,valid,lava-m,55.6
md5sum,afl-2.52b,valid,lava-m,58.5
md5sum,afl-rb,valid,lava-m,58.5
md5sum,aflfast,valid,lava-m,47.3
md5sum,aflgo,valid,lava-m,58.5
uniq,afl-1.94b,valid,lava-m,26.5
uniq,afl-2.40b,valid,lava-m,26.5
uniq,afl-2.49b,valid,lava-m,26.5
uniq,afl-2.51b,valid,lava-m,26.5
uniq,afl-2.52b,valid,lava-m,26.5
uniq,afl-rb,valid,lava-m,26.5
uniq,aflfast,valid,lava-m,26.5
uniq,aflgo,valid,lava-m,26.5
