program,fuzzer,seed,version,paths_1h,paths_2h,paths_3h,paths_4h,paths_5h,paths_6h
cxxfilt,afl-2.52b,invalid,binutils2.28,0.465534,0.693366,0.847735,0.971683,1,1
cxxfilt,afl-rb,invalid,binutils2.28,0.667638,0.90534,0.983981,1.04595,1.1254,1.16909
cxxfilt,aflfast,invalid,binutils2.28,0.468932,0.645631,0.796602,0.882039,0.959061,1.05243
cxxfilt,aflgo,invalid,binutils2.28,0.521521,0.758414,0.925243,0.925243,0.925243,0.925243
nm,afl-1.94b,invalid,binutils2.28,0.0715144,0.191106,0.284455,0.377404,0.414864,0.46875
nm,afl-2.40b,invalid,binutils2.28,0.232372,0.471554,0.664062,0.81891,0.952724,1.12881
nm,afl-2.49b,invalid,binutils2.28,0.276442,0.461338,0.611378,0.742388,0.854167,0.974559
nm,afl-2.51b,invalid,binutils2.28,0.272837,0.453726,0.604167,0.74359,0.875601,0.972155
nm,afl-2.52b,invalid,binutils2.28,0.270433,0.473157,0.636819,0.766627,0.895232,1
nm,afl-rb,invalid,binutils2.28,0.472356,0.666466,0.796474,0.930489,1.00861,1.0641
nm,aflfast,invalid,binutils2.28,0.298277,0.687901,0.907051,1.15805,1.21615,1.2476
nm,aflgo,invalid,binutils2.28,0.260016,0.444111,0.630008,0.796675,0.938702,1.07993
objdump,afl-1.94b,invalid,binutils2.28,0.231716,0.441791,0.594403,0.665299,0.748507,0.786194
objdump,afl-2.40b,invalid,binutils2.28,0.508582,0.664925,0.767164,0.844776,0.930224,0.995522
objdump,afl-2.49b,invalid,binutils2.28,0.544403,0.646642,0.75,0.873134,1.00746,1.04179
objdump,afl-2.51b,invalid,binutils2.28,0.374254,0.482836,0.574627,0.593284,0.66903,0.723507
objdump,afl-2.52b,invalid,binutils2.28,0.453731,0.642537,0.74291,0.85709,0.918657,1
objdump,afl-rb,invalid,binutils2.28,0.53694,0.600746,0.718284,0.775746,1.01269,1.01269
objdump,aflfast,invalid,binutils2.28,0.583955,0.719776,0.800746,0.984328,1.12388,1.1653
objdump,aflgo,invalid,binutils2.28,0.481343,0.685448,0.817164,0.952985,1.07052,1.1056
readelf,afl-1.94b,invalid,binutils2.28,1,1,1,1,1,1
readelf,afl-2.40b,invalid,binutils2.28,1,1,1,1,1,1
readelf,afl-2.49b,invalid,binutils2.28,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444
readelf,afl-2.51b,invalid,binutils2.28,1,1,1,1,1,1
readelf,afl-2.52b,invalid,binutils2.28,1,1,1,1,1,1
readelf,afl-rb,invalid,binutils2.28,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444
readelf,aflfast,invalid,binutils2.28,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333
readelf,aflgo,invalid,binutils2.28,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444
size,afl-1.94b,invalid,binutils2.28,0.286340394,0.410518627,0.472607743,0.536157779,0.558802045,0.603360117
size,afl-2.40b,invalid,binutils2.28,0.509861213,0.602629657,0.608473338,0.608473338,0.609934259,0.609934259
size,afl-2.49b,invalid,binutils2.28,0.46311176,0.542001461,0.544192841,0.661066472,0.805697589,0.892622352
size,afl-2.51b,invalid,binutils2.28,0.553688824,0.794010226,0.951789627,1.054054054,1.123447772,1.243973703
size,afl-2.52b,invalid,binutils2.28,0.612856099,0.821767714,0.913075237,0.930606282,0.989773557,1
size,afl-rb,invalid,binutils2.28,0.574872169,0.971512053,1.300949598,1.458728999,1.526661797,1.598977356
size,aflfast,invalid,binutils2.28,0.399561724,0.399561724,0.400292184,0.400292184,0.483564646,0.598977356
size,aflgo,invalid,binutils2.28,0.530314098,0.602629657,0.628195763,0.629656684,0.643535427,0.661796932
strings,afl-1.94b,invalid,binutils2.28,0.987012987,1.012987013,1.012987013,1.012987013,1.012987013,1.012987013
strings,afl-2.40b,invalid,binutils2.28,0.909090909,0.909090909,0.909090909,0.909090909,0.909090909,0.909090909
strings,afl-2.49b,invalid,binutils2.28,1.012987013,1.012987013,1.012987013,1.012987013,1.012987013,1.012987013
strings,afl-2.51b,invalid,binutils2.28,0.857142857,0.896103896,0.896103896,0.896103896,0.896103896,0.896103896
strings,afl-2.52b,invalid,binutils2.28,0.961038961,0.961038961,0.974025974,0.974025974,1,1
strings,afl-rb,invalid,binutils2.28,1.012987013,1.012987013,1.025974026,1.025974026,1.025974026,1.038961039
strings,aflfast,invalid,binutils2.28,0.948051948,0.948051948,0.948051948,0.948051948,0.948051948,0.948051948
strings,aflgo,invalid,binutils2.28,0.974025974,0.974025974,0.974025974,0.974025974,0.974025974,0.974025974
cxxfilt,afl-1.94b,invalid,binutils2.32,0.224545,0.346017,0.412712,0.486724,0.556973,0.607987
cxxfilt,afl-2.40b,invalid,binutils2.32,0.491742,0.706879,0.706879,0.706879,0.706879,0.706879
cxxfilt,afl-2.49b,invalid,binutils2.32,0.378005,0.558854,0.686389,0.750366,0.750366,0.750366
cxxfilt,afl-2.51b,invalid,binutils2.32,0.402885,0.573908,0.698934,0.71106,0.749321,0.749948
cxxfilt,afl-2.52b,invalid,binutils2.32,0.421284,0.606105,0.767092,0.898808,0.965294,1
cxxfilt,afl-rb,invalid,binutils2.32,0.627012,0.828769,0.98202,1.09471,1.14677,1.16182
cxxfilt,aflfast,invalid,binutils2.32,0.480452,0.69078,0.814342,0.895881,0.933305,0.953795
cxxfilt,aflgo,invalid,binutils2.32,0.439264,0.628685,0.767719,0.803262,0.803262,0.838804
nm,afl-1.94b,invalid,binutils2.32,0.122544,0.207126,0.328005,0.432567,0.498834,0.563437
nm,afl-2.40b,invalid,binutils2.32,0.254079,0.545122,0.743257,0.919081,1.03463,1.14885
nm,afl-2.49b,invalid,binutils2.32,0.374292,0.639694,0.811189,0.94672,1.05927,1.14119
nm,afl-2.51b,invalid,binutils2.32,0.272061,0.339327,0.411255,0.462537,0.50383,0.545455
nm,afl-2.52b,invalid,binutils2.32,0.445221,0.662338,0.864469,0.983017,0.995671,1
nm,afl-rb,invalid,binutils2.32,0.419913,0.583417,0.701632,0.759574,0.788545,0.801865
nm,aflfast,invalid,binutils2.32,0.282384,0.402264,0.512155,0.64369,0.71029,0.80686
nm,aflgo,invalid,binutils2.32,0.285714,0.404928,0.45954,0.512488,0.56044,0.576424
objdump,afl-1.94b,invalid,binutils2.32,0.408669,0.648091,0.791538,0.973168,1.13003,1.22807
objdump,afl-2.40b,invalid,binutils2.32,0.831785,1.08875,1.34881,1.43447,1.59546,1.6904
objdump,afl-2.49b,invalid,binutils2.32,0.69969,0.910217,0.957688,0.960784,0.964912,0.976264
objdump,afl-2.51b,invalid,binutils2.32,0.748194,0.877193,0.945304,0.976264,1.0227,1.10114
objdump,afl-2.52b,invalid,binutils2.32,0.733746,0.747162,0.747162,0.875129,0.995872,1
objdump,afl-rb,invalid,binutils2.32,0.891641,1.04541,1.23736,1.34056,1.90506,2.20021
objdump,aflfast,invalid,binutils2.32,0.732714,0.75645,0.758514,0.758514,0.758514,0.768834
objdump,aflgo,invalid,binutils2.32,0.682147,0.940144,0.9742,0.981424,0.981424,0.981424
readelf,afl-1.94b,invalid,binutils2.32,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889
readelf,afl-2.40b,invalid,binutils2.32,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444
readelf,afl-2.49b,invalid,binutils2.32,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444
readelf,afl-2.51b,invalid,binutils2.32,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444
readelf,afl-2.52b,invalid,binutils2.32,1,1,1,1,1,1
readelf,afl-rb,invalid,binutils2.32,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444
readelf,aflfast,invalid,binutils2.32,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333
readelf,aflgo,invalid,binutils2.32,1,1,1,1,1,1
size,afl-1.94b,invalid,binutils2.32,0.345381526,0.56124498,0.698795181,0.830321285,0.874497992,0.91064257
size,afl-2.40b,invalid,binutils2.32,0.903614458,1.225903614,1.40060241,1.502008032,1.581325301,1.690763052
size,afl-2.49b,invalid,binutils2.32,0.884538153,1.388554217,1.453815261,1.478915663,1.5,1.531124498
size,afl-2.51b,invalid,binutils2.32,0.706827309,0.72188755,0.902610442,0.985943775,0.990963855,1.030120482
size,afl-2.52b,invalid,binutils2.32,0.752008032,0.840361446,0.93875502,0.978915663,0.991967871,1
size,afl-rb,invalid,binutils2.32,1.046184739,1.265060241,1.451807229,1.753012048,1.885542169,2.054216867
size,aflfast,invalid,binutils2.32,0.803212851,0.880522088,0.925702811,0.958835341,1.002008032,1.009036145
size,aflgo,invalid,binutils2.32,0.765060241,0.847389558,0.918674699,0.958835341,0.980923695,0.983935743
strings,afl-1.94b,invalid,binutils2.32,0.971014493,0.971014493,0.971014493,0.971014493,0.971014493,0.971014493
strings,afl-2.40b,invalid,binutils2.32,1.057971014,1.101449275,1.101449275,1.101449275,1.101449275,1.101449275
strings,afl-2.49b,invalid,binutils2.32,1.101449275,1.101449275,1.101449275,1.101449275,1.101449275,1.101449275
strings,afl-2.51b,invalid,binutils2.32,1.014492754,1.043478261,1.043478261,1.043478261,1.043478261,1.043478261
strings,afl-2.52b,invalid,binutils2.32,1,1,1,1,1,1
strings,afl-rb,invalid,binutils2.32,1.014492754,1.028985507,1.028985507,1.028985507,1.028985507,1.028985507
strings,aflfast,invalid,binutils2.32,0.753623188,0.753623188,0.753623188,0.753623188,0.753623188,0.753623188
strings,aflgo,invalid,binutils2.32,1.028985507,1.028985507,1.043478261,1.043478261,1.043478261,1.043478261
cxxfilt,afl-1.94b,valid,binutils2.26,0.319553,0.487462,0.596239,0.68265,0.776686,0.854964
cxxfilt,afl-2.40b,valid,binutils2.26,0.612165,0.837004,0.885632,0.885632,0.885632,0.896645
cxxfilt,afl-2.49b,valid,binutils2.26,0.617418,0.852592,0.985598,0.985598,0.985598,0.985598
cxxfilt,afl-2.51b,valid,binutils2.26,0.569299,0.807353,0.929007,0.949678,0.949678,0.949678
cxxfilt,afl-2.52b,valid,binutils2.26,0.620129,0.881566,0.953406,0.954253,0.999322,1
cxxfilt,afl-rb,valid,binutils2.26,0.801932,0.931718,1.07303,1.20874,1.27228,1.30058
